NO.,Time (yyyy/mm/dd HH:MM:SS),Ground Check in Instrument Shelter,,,,Release at Surface ,,,,,,,,Terminal Height(m),co-launch,info
,,Assmann T(C),Assmann RH(%),ST T(C),ST RH(%),ST P(hPa),ST T(C),ST RH(%),WXT P(hPa),WXT T(C),WXT RH(%),WXT WS(m/s),WXT WD(˙),,,
1810,2021/4/1 18:00,28.25,66.4,28.4,66.4,1001.62,27.93,69.6,1001,27.77,60.13,1.333,264.8,169.36,Y,co-launch，不重放
401,2021/4/1 19:00,26.36,76.5,26.82,88,1002.14,26.71,92.3,1001,25.9,67.6,0.133,54.33,289.9,N,有收到下落資料，最高高度3255.51m
1800,2021/4/1 19:59,24.91,82.5,25.53,80.4,1002.45,26.24,77.8,1002,24.7,72.25,0.65,180,9440.09,Y,中途中斷數分鐘，中斷前高度8719.13m
2285,2021/4/1 20:45,24.88,83.1,25.6,85.3,1004.45,25.58,85.5,1003,24.2,74.95,0.6,121.8,8127.46,N,
2081,2021/4/1 22:00,24.35,88,24.6,89.5,1004.26,25.22,87.2,1003,24.2,77.07,0.42,30,8669.53,N,中途中斷數分鐘，中斷前高度8406.58m
2140,2021/4/1 23:00,23.86,90.1,24.78,91,1005.56,25.17,89.4,1004,23.8,78,0.217,233,9302.91,Y,中途中斷數分鐘，中斷前高度9229.88m
2301,2021/4/2 00:00,23.2,91.2,23.9,90.6,1005.05,25.7,82.1,1003,23,79.33,0.3,202.7,7411.88,N,中途中斷數分鐘，中斷前高度6246.92m
2295,2021/4/2 01:00,23,90.6,23.9,90.5,1003.64,27.44,76,1003,22.7,80,0.617,17.17,7056.84,N,
2161,2021/4/2 02:00,22.9,92.9,23.5,95.3,1003.94,25.53,85.9,1003,22.5,81.5,0.75,123.3,7814.07,Y,
2170,2021/4/2 03:00,22.4,93.2,23.1,93.2,1003.75,25.29,83.1,1003,22.2,81.2,0.25,28.5,8715.07,N,中途中斷數分鐘，中斷前高度8077.29m
2325,2021/4/2 03:27,22.1,93.8,22.5,96.2,1004.06,25.25,84.7,1003,21.7,82.5,0.633,183.3,8601.27,N,中途中斷數分鐘，中斷前高度7800.33m
2281,2021/4/2 03:59,22.1,96.7,22.8,98.1,1003.86,25.27,86.5,1003,21.5,83.9,0.483,43,7757.88,N,
2190,2021/4/2 04:59,21.6,96.8,22.3,97.3,1003.92,23.27,94.6,1003,21.9,84.8,0.967,55.83,7747.96,Y,
2305,2021/4/2 05:59,21.47,97.1,22.43,97.2,1005.69,21.87,100,1004,21.5,84.4,0.617,31.5,8395.17,N,
2320,2021/4/2 06:59,22.6,92.6,23.32,95.8,1006.51,23.83,93.3,1005,22,83.7,0.567,329.8,8698.01,N,中途中斷數分鐘，中斷前高度8354.39m
2345,2021/4/2 08:00,24.61,86.3,26.41,83.5,1007.35,27.77,75.4,1006,25.83,69.95,0.4,120.5,9839.28,Y,中途中斷數分鐘，中斷前高度9161.49m
2341,2021/4/2 09:00,28.22,65.7,28.84,71.7,1007.34,31.01,64.2,1006,27.67,58.23,1.75,257.7,6032.24,N,
