100,200,300,400,500,600,700,800,900,1000
Time,Temp.,Humin.,Pressure.,Az,H1_u,H1_v,H1_w,H1_ws,H1_wd,H2_u,H2_v,H2_w,H2_ws,H2_wd,H3_u,H3_v,H3_w,H3_ws,H3_wd,H4_u,H4_v,H4_w,H4_ws,H4_wd,H5_u,H5_v,H5_w,H5_ws,H5_wd,H6_u,H6_v,H6_w,H6_ws,H6_wd,H7_u,H7_v,H7_w,H7_ws,H7_wd,H8_u,H8_v,H8_w,H8_ws,H8_wd,H9_u,H9_v,H9_w,H9_ws,H9_wd,H10_u,H10_v,H10_w,H10_ws,H10_wd
20201120_23:00:00.00,99.9,99.9,999.9,001,2.19,2.19,-0.39,3.13,45.00,5.12,8.04,0.10,9.53,32.47,7.31,8.77,-0.20,11.42,39.81,-4.02,2.92,1.22,5.12,306.03,-0.37,0.73,2.01,2.17,333.43,-2.56,1.46,-3.09,4.27,299.74,10.23,-0.73,-0.69,10.28,94.09,-0.37,17.55,3.77,17.95,358.81,11.33,0.00,0.05,11.33,90.00,-19.01,0.00,-2.25,19.14,270.00
20201120_23:00:00.52,99.9,99.9,999.9,001,2.19,2.56,-0.44,3.40,40.60,5.12,8.04,0.10,9.53,32.47,6.94,8.41,-0.20,10.91,39.56,-4.02,2.92,1.22,5.12,306.03,-0.37,0.73,2.01,2.17,333.43,-2.56,1.46,-3.09,4.27,299.74,10.23,-0.73,-0.69,10.28,94.09,-0.37,17.55,3.77,17.95,358.81,11.33,0.00,0.05,11.33,90.00,-19.01,0.00,-2.25,19.14,270.00
20201120_23:00:01.05,99.9,99.9,999.9,001,2.56,2.56,-0.49,3.65,45.00,4.39,8.04,0.10,9.16,28.61,6.94,8.04,-0.15,10.63,40.82,-4.02,2.92,1.22,5.12,306.03,-0.37,0.73,2.01,2.17,333.43,-2.19,1.46,-3.04,4.02,303.69,9.87,-0.73,-0.73,9.92,94.24,-0.73,17.55,3.72,17.95,357.61,11.33,0.00,0.05,11.33,90.00,-19.01,0.00,-2.25,19.14,270.00
20201120_23:00:01.58,99.9,99.9,999.9,001,2.56,2.92,-0.44,3.91,41.19,4.02,8.04,0.15,8.99,26.57,6.94,8.04,-0.15,10.63,40.82,-4.02,2.92,1.22,5.12,306.03,-0.37,0.73,2.01,2.17,333.43,0.37,1.46,-3.38,3.70,14.04,9.87,-0.91,-0.76,9.94,95.29,-0.73,17.55,3.72,17.95,357.61,11.33,14.62,1.22,18.54,37.78,-19.01,0.00,-2.25,19.14,270.00
20201120_23:00:02.11,99.9,99.9,999.9,001,2.56,2.92,-0.44,3.91,41.19,2.56,7.68,-0.10,8.09,18.43,6.94,8.04,-0.15,10.63,40.82,-1.46,2.92,0.88,3.39,333.43,-0.37,0.73,2.01,2.17,333.43,0.37,1.46,-3.38,3.70,14.04,9.87,-0.73,-0.73,9.92,94.24,-0.73,17.55,3.72,17.95,357.61,11.33,14.62,1.22,18.54,37.78,-19.01,-1.10,-2.40,19.19,266.70
20201120_23:00:02.63,99.9,99.9,999.9,001,2.56,2.92,-0.44,3.91,41.19,1.46,7.68,-0.15,7.82,10.78,6.58,8.04,-0.20,10.39,39.29,-1.46,2.19,0.98,2.81,326.31,-0.37,0.73,2.01,2.17,333.43,0.37,1.10,-3.33,3.52,18.43,10.42,-0.73,-0.66,10.46,94.01,-0.73,17.55,3.72,17.95,357.61,11.33,14.62,1.22,18.54,37.78,-19.01,-1.10,-2.40,19.19,266.70
20201120_23:00:03.16,99.9,99.9,999.9,001,2.19,2.92,-0.39,3.68,36.87,1.46,7.49,-0.17,7.64,11.04,6.21,7.68,-0.20,9.88,38.99,-1.46,2.19,0.98,2.81,326.31,-0.37,0.73,2.01,2.17,333.43,0.37,1.10,-3.33,3.52,18.43,9.87,-0.73,-0.73,9.92,94.24,-0.73,14.62,3.33,15.01,357.14,11.33,17.55,0.83,20.90,32.86,-19.01,-1.10,-2.40,19.19,266.70
20201120_23:00:03.69,99.9,99.9,999.9,001,2.19,3.11,-0.42,3.83,35.22,0.37,7.31,-0.24,7.32,2.86,5.12,6.94,-0.15,8.63,36.38,-1.83,2.19,0.93,3.00,320.19,-0.37,0.73,2.01,2.17,333.43,0.37,1.10,-3.33,3.52,18.43,9.87,-0.73,-0.73,9.92,94.24,-0.73,14.62,3.33,15.01,357.14,11.33,17.55,0.83,20.90,32.86,-19.01,-1.10,-2.40,19.19,266.70
20201120_23:00:04.21,99.9,99.9,999.9,001,2.19,2.19,-0.29,3.12,45.00,0.00,6.21,-0.05,6.21,0.00,5.12,7.31,-0.10,8.92,34.99,-1.83,2.19,0.93,3.00,320.19,-0.37,0.73,2.01,2.17,333.43,0.37,1.10,-3.33,3.52,18.43,9.87,-0.73,-0.73,9.92,94.24,-0.73,14.62,3.33,15.01,357.14,10.60,17.55,0.73,20.51,31.14,-19.01,-1.10,-2.40,19.19,266.70
20201120_23:00:04.74,99.9,99.9,999.9,001,2.19,2.19,-0.29,3.12,45.00,0.00,6.21,-0.05,6.21,0.00,5.12,7.31,-0.10,8.92,34.99,-1.83,2.19,0.93,3.00,320.19,-0.37,0.73,2.01,2.17,333.43,0.73,1.10,-3.28,3.54,33.69,9.87,-0.73,-0.73,9.92,94.24,-0.73,14.62,3.33,15.01,357.14,10.60,17.55,0.73,20.51,31.14,-19.01,-1.10,-2.40,19.19,266.70
