100,200,300,400,500,600,700,800,900,1000
Time,Temp.,Humin.,Pressure.,Az,H1_u,H1_v,H1_w,H1_ws,H1_wd,H2_u,H2_v,H2_w,H2_ws,H2_wd,H3_u,H3_v,H3_w,H3_ws,H3_wd,H4_u,H4_v,H4_w,H4_ws,H4_wd,H5_u,H5_v,H5_w,H5_ws,H5_wd,H6_u,H6_v,H6_w,H6_ws,H6_wd,H7_u,H7_v,H7_w,H7_ws,H7_wd,H8_u,H8_v,H8_w,H8_ws,H8_wd,H9_u,H9_v,H9_w,H9_ws,H9_wd,H10_u,H10_v,H10_w,H10_ws,H10_wd
20210401_13:02:02.79,99.9,99.9,999.9,001,1.83,3.84,0.86,4.34,205.46,2.56,6.94,-0.98,7.47,200.22,4.93,4.93,-1.27,7.09,225.00,1.10,-14.99,0.29,15.03,355.82,8.04,-1.64,-0.56,8.23,281.56,11.33,4.02,0.88,12.06,250.46,-12.43,14.62,-0.39,19.19,139.64,1.83,-0.73,-1.42,2.43,291.80,-9.14,-3.66,-2.60,10.18,68.20,-0.73,-3.66,-0.88,3.83,11.31
20210401_13:02:03.32,99.9,99.9,999.9,001,1.83,-2.56,-0.00,3.14,324.46,2.56,6.94,-0.98,7.47,200.22,8.04,4.93,-0.86,9.47,238.47,0.73,-14.99,0.34,15.01,357.21,8.04,-1.64,-0.56,8.23,281.56,11.33,4.02,0.88,12.06,250.46,-12.43,14.62,-0.39,19.19,139.64,1.83,-0.73,-1.42,2.43,291.80,-9.14,-3.66,-2.60,10.18,68.20,-0.73,-3.66,-0.88,3.83,11.31
20210401_13:02:03.85,99.9,99.9,999.9,001,1.83,-2.56,-0.00,3.14,324.46,2.56,4.75,-1.27,5.55,208.30,2.56,5.48,-0.49,6.07,205.02,-0.73,-14.99,0.54,15.01,2.79,8.41,-3.66,-0.34,9.17,293.50,11.33,12.79,-0.29,17.09,221.53,-8.41,14.62,0.15,16.87,150.10,1.83,-0.73,-1.42,2.43,291.80,-9.14,-3.66,-2.60,10.18,68.20,-0.73,-4.75,-0.73,4.86,8.75
20210401_13:02:04.37,99.9,99.9,999.9,001,1.83,-2.56,-0.00,3.14,324.46,2.92,2.19,-0.88,3.76,233.13,3.66,0.55,-1.15,3.87,261.47,-2.92,-12.43,0.59,12.78,13.24,8.41,3.66,0.64,9.19,246.50,11.33,10.97,-0.05,15.77,225.94,-8.41,14.62,0.15,16.87,150.10,1.83,-0.73,-1.42,2.43,291.80,-9.14,-3.66,-2.60,10.18,68.20,-0.73,-5.85,-0.88,5.96,7.13
20210401_13:02:04.90,99.9,99.9,999.9,001,1.83,-2.56,-0.00,3.14,324.46,2.92,-0.37,-0.54,3.00,277.13,3.66,-0.00,-1.08,3.81,270.00,-4.39,-12.43,0.78,13.20,19.44,8.77,3.66,0.59,9.52,247.38,11.33,10.97,-0.05,15.77,225.94,-8.41,14.62,0.15,16.87,150.10,1.10,-0.73,-1.52,2.01,303.69,-9.14,-3.66,-2.60,10.18,68.20,-1.10,-5.85,-0.83,6.01,10.62
20210401_13:02:05.43,99.9,99.9,999.9,001,1.83,-2.56,-0.00,3.14,324.46,3.29,-0.37,-0.59,3.36,276.34,3.66,0.37,-1.13,3.84,264.29,-4.57,-12.43,0.81,13.27,20.19,8.77,3.66,0.59,9.52,247.38,11.33,10.97,-0.05,15.77,225.94,-8.41,14.62,0.15,16.87,150.10,1.10,2.56,-1.96,3.40,203.20,-3.29,-3.66,-3.38,5.97,41.99,-1.10,-5.85,-0.83,6.01,10.62
20210401_13:02:05.95,99.9,99.9,999.9,001,1.83,-2.56,-0.00,3.14,324.46,2.01,-0.37,-0.76,2.18,280.30,-0.37,0.37,-0.49,0.71,135.00,-4.57,-4.39,1.89,6.61,46.17,8.77,4.20,0.51,9.74,244.40,11.33,10.97,-0.05,15.77,225.94,-8.41,14.62,0.15,16.87,150.10,1.10,2.56,-1.96,3.40,203.20,-3.29,-3.66,-3.38,5.97,41.99,-1.10,-5.85,-0.83,6.01,10.62
20210401_13:02:06.48,99.9,99.9,999.9,001,1.83,-2.56,-0.00,3.14,324.46,2.01,0.37,-0.86,2.22,259.70,-0.37,0.37,-0.49,0.71,135.00,-4.57,-4.39,1.89,6.61,46.17,8.41,4.57,0.51,9.58,241.48,11.33,10.97,-0.05,15.77,225.94,-8.41,14.62,0.15,16.87,150.10,1.10,2.56,-1.96,3.40,203.20,-3.29,-3.66,-3.38,5.97,41.99,-1.10,-5.85,-0.83,6.01,10.62
20210401_13:02:07.01,99.9,99.9,999.9,001,1.83,-3.66,0.15,4.09,333.43,4.39,0.73,-1.32,4.64,260.54,-0.37,0.37,-0.49,0.71,135.00,-4.57,-3.66,1.98,6.18,51.34,8.41,4.57,0.51,9.58,241.48,11.33,10.97,-0.05,15.77,225.94,-8.41,14.62,0.15,16.87,150.10,1.10,2.56,-1.96,3.40,203.20,-3.29,-3.66,-3.38,5.97,41.99,-1.10,-5.85,-0.83,6.01,10.62
20210401_13:02:07.53,99.9,99.9,999.9,001,1.83,-3.66,0.15,4.09,333.43,4.39,0.73,-1.32,4.64,260.54,-0.37,0.37,-0.49,0.71,135.00,-4.39,-3.66,1.96,6.04,50.19,8.41,4.57,0.51,9.58,241.48,11.33,10.97,-0.05,15.77,225.94,-8.41,14.62,0.15,16.87,150.10,1.10,2.56,-1.96,3.40,203.20,-3.29,-3.66,-3.38,5.97,41.99,-1.28,-0.37,-1.54,2.04,74.05
20210401_13:02:08.06,99.9,99.9,999.9,001,1.83,-3.66,0.15,4.09,333.43,0.73,0.73,-1.18,1.57,225.00,-0.37,0.18,-0.51,0.66,116.57,-4.39,-3.66,1.96,6.04,50.19,8.41,4.02,0.44,9.33,244.44,11.33,10.97,-0.05,15.77,225.94,-8.41,14.62,0.15,16.87,150.10,1.10,2.56,-1.96,3.40,203.20,-3.29,-3.66,-3.38,5.97,41.99,-1.28,-0.37,-1.54,2.04,74.05
20210401_13:02:08.59,99.9,99.9,999.9,001,10.97,-3.66,-1.08,11.61,288.43,0.73,0.73,-1.18,1.57,225.00,-1.10,-0.55,-0.51,1.33,63.43,-4.39,7.31,0.49,8.54,149.04,8.41,4.02,0.44,9.33,244.44,11.33,10.97,-0.05,15.77,225.94,-8.41,8.77,0.93,12.19,136.22,1.10,2.56,-1.96,3.40,203.20,-3.29,-3.66,-3.38,5.97,41.99,-1.28,-0.37,-1.54,2.04,74.05
20210401_13:02:09.12,99.9,99.9,999.9,001,10.97,-3.29,-1.13,11.50,286.70,1.28,0.37,-1.15,1.76,254.05,-1.83,-0.55,-0.22,1.92,73.30,-3.84,7.31,0.42,8.27,152.30,8.41,4.57,0.51,9.58,241.48,11.33,8.77,0.24,14.33,232.25,-8.41,8.77,0.93,12.19,136.22,1.10,2.56,-1.96,3.40,203.20,-0.00,-3.66,-2.94,4.69,0.00,-1.28,-0.37,-1.54,2.04,74.05
20210401_13:02:09.64,99.9,99.9,999.9,001,10.97,-3.29,-1.13,11.50,286.70,1.10,0.37,-1.18,1.65,251.57,-2.56,-0.73,-0.34,2.68,74.05,-3.11,7.86,0.59,8.47,158.43,8.41,3.47,0.37,9.10,247.56,11.33,8.41,0.29,14.11,233.43,-8.41,8.77,0.93,12.19,136.22,1.10,2.56,-1.96,3.40,203.20,-0.00,-3.66,-2.94,4.69,0.00,-1.28,-0.37,-1.54,2.04,74.05
