Start time:      2021/4/3 上午 06:00:03

Time	  Height	       P	       T	       U	      WS	      WD	  Ascent
 0.0,	      57,	  1004.1,	    30.6,	    49.8,	     2.1,	   257.0,	       0
 0.6,	      59,	  1003.8,	    30.3,	    59.7,	     2.3,	   299.5,	     262
 1.6,	      63,	  1003.5,	    30.0,	    59.6,	     3.0,	   313.8,	     218
 2.6,	      67,	  1003.0,	    29.5,	    60.9,	     3.4,	   317.8,	     216
 3.6,	      70,	  1002.6,	    29.2,	    62.6,	     3.7,	   318.3,	     210
 4.6,	      74,	  1002.3,	    28.9,	    64.1,	     3.9,	   318.0,	     210
 5.6,	      77,	  1001.8,	    28.5,	    65.0,	     4.1,	   317.7,	     230
 6.6,	      82,	  1001.3,	    28.2,	    65.6,	     4.3,	   317.7,	     261
 7.6,	      87,	  1000.8,	    27.9,	    66.1,	     4.6,	   317.8,	     286
 8.6,	      91,	  1000.2,	    27.8,	    66.6,	     4.8,	   318.0,	     287
 9.6,	      96,	   999.7,	    27.7,	    66.6,	     5.0,	   318.1,	     257
10.6,	      99,	   999.3,	    27.7,	    66.3,	     5.2,	   318.3,	     213
11.6,	     102,	   999.0,	    27.7,	    66.0,	     5.4,	   318.4,	     183
12.6,	     105,	   998.7,	    27.7,	    65.8,	     5.6,	   318.5,	     184
13.6,	     109,	   998.3,	    27.7,	    66.0,	     5.8,	   318.6,	     220
14.6,	     114,	   997.8,	    27.6,	    66.6,	     5.9,	   318.7,	     269
15.6,	     119,	   997.1,	    27.5,	    67.0,	     6.1,	   318.7,	     296
16.6,	     123,	   996.6,	    27.5,	    67.1,	     6.2,	   318.8,	     296
17.6,	     128,	   996.1,	    27.4,	    67.1,	     6.3,	   318.8,	     284
18.6,	     133,	   995.6,	    27.4,	    67.1,	     6.4,	   318.9,	     264
19.6,	     136,	   995.1,	    27.4,	    67.1,	     6.5,	   318.8,	     232
20.6,	     140,	   994.8,	    27.3,	    67.0,	     6.6,	   318.8,	     192
21.6,	     142,	   994.5,	    27.3,	    66.9,	     6.7,	   318.8,	     161
22.6,	     145,	   994.3,	    27.3,	    66.9,	     6.8,	   318.7,	     157
23.6,	     148,	   993.9,	    27.3,	    67.1,	     6.9,	   318.6,	     171
24.6,	     151,	   993.5,	    27.2,	    67.3,	     6.9,	   318.5,	     186
25.6,	     154,	   993.2,	    27.2,	    67.7,	     7.0,	   318.4,	     191
26.6,	     157,	   992.8,	    27.2,	    68.0,	     7.0,	   318.3,	     184
27.6,	     160,	   992.5,	    27.1,	    68.3,	     7.1,	   318.1,	     176
28.6,	     163,	   992.2,	    27.1,	    68.3,	     7.1,	   318.0,	     177
29.6,	     166,	   991.9,	    27.1,	    68.3,	     7.1,	   317.8,	     189
30.6,	     170,	   991.5,	    27.1,	    68.4,	     7.2,	   317.6,	     205
31.6,	     173,	   991.0,	    27.0,	    68.5,	     7.2,	   317.3,	     211
32.6,	     177,	   990.6,	    27.0,	    68.5,	     7.2,	   317.1,	     198
33.6,	     180,	   990.4,	    27.0,	    68.6,	     7.2,	   316.9,	     184
34.6,	     183,	   990.0,	    26.9,	    68.8,	     7.2,	   316.6,	     189
35.6,	     186,	   989.6,	    26.9,	    69.1,	     7.2,	   316.3,	     208
36.6,	     190,	   989.2,	    26.9,	    69.2,	     7.2,	   316.1,	     229
37.6,	     194,	   988.7,	    26.8,	    69.3,	     7.1,	   315.8,	     242
38.6,	     198,	   988.3,	    26.8,	    69.3,	     7.1,	   315.4,	     243
39.6,	     202,	   987.8,	    26.7,	    69.3,	     7.1,	   315.1,	     227
40.6,	     205,	   987.4,	    26.7,	    69.3,	     7.0,	   314.7,	     192
41.6,	     208,	   987.2,	    26.7,	    69.5,	     7.0,	   314.3,	     157
42.6,	     210,	   987.0,	    26.6,	    69.7,	     6.9,	   313.9,	     142
43.6,	     213,	   986.7,	    26.6,	    69.7,	     6.8,	   313.4,	     148
44.6,	     215,	   986.3,	    26.6,	    69.7,	     6.8,	   312.9,	     156
45.6,	     218,	   986.1,	    26.6,	    69.7,	     6.7,	   312.5,	     155
46.6,	     220,	   985.8,	    26.6,	    69.8,	     6.6,	   311.9,	     157
