Start time:      2021/4/3 下午 12:00:03

Time	  Height	       P	       T	       U	      WS	      WD	  Ascent
 0.0,	      57,	  1006.1,	    25.5,	    64.4,	     1.8,	   322.0,	       0
 1.5,	      63,	  1005.5,	    25.6,	    74.7,	     1.4,	   336.5,	     258
 2.5,	      68,	  1004.8,	    25.4,	    75.6,	     1.4,	   342.5,	     300
 3.5,	      73,	  1004.2,	    25.3,	    76.2,	     1.5,	   345.0,	     307
 4.5,	      78,	  1003.7,	    25.2,	    76.6,	     1.7,	   345.9,	     292
 5.5,	      83,	  1003.2,	    25.1,	    76.7,	     1.8,	   346.5,	     275
 6.5,	      87,	  1002.7,	    25.0,	    76.7,	     2.0,	   347.3,	     272
 7.5,	      92,	  1002.2,	    25.0,	    76.7,	     2.2,	   348.1,	     283
 8.5,	      97,	  1001.6,	    24.9,	    76.7,	     2.4,	   349.0,	     290
 9.5,	     102,	  1001.0,	    24.9,	    76.6,	     2.5,	   349.8,	     276
10.5,	     106,	  1000.5,	    24.9,	    76.8,	     2.7,	   350.6,	     239
11.5,	     109,	  1000.2,	    24.9,	    77.0,	     3.0,	   351.3,	     202
12.5,	     112,	   999.9,	    24.8,	    77.0,	     3.2,	   351.9,	     193
13.5,	     116,	   999.5,	    24.8,	    77.1,	     3.4,	   352.4,	     224
14.5,	     120,	   998.9,	    24.8,	    77.2,	     3.6,	   352.9,	     272
15.5,	     125,	   998.3,	    24.7,	    77.4,	     3.8,	   353.3,	     302
16.5,	     130,	   997.7,	    24.6,	    77.7,	     4.1,	   353.7,	     296
17.5,	     135,	   997.3,	    24.5,	    78.0,	     4.3,	   354.0,	     275
18.5,	     140,	   996.8,	    24.5,	    78.3,	     4.5,	   354.3,	     273
19.5,	     144,	   996.2,	    24.5,	    78.6,	     4.8,	   354.5,	     287
20.5,	     149,	   995.6,	    24.4,	    78.9,	     5.0,	   354.7,	     302
21.5,	     155,	   995.1,	    24.3,	    79.0,	     5.2,	   354.9,	     317
