Sonde serial number                          	S2251154
Balloon release date and time                	2021-04-01T10:00:01
Sonde type                                   	RS41-SGP

   n AscRate HeightMSL      P  Temp   RH  Dewp Dir Speed  VirT       Lat        Lon  MixR CompRng CompAz
         m/s         m    hPa    °C    %    °C   °   m/s     K         °          °  g/kg       m      °
   1     0.0        57 1001.1  27.8 60.1  19.4 264   1.3 303.5 23.188101 120.373802 14.19       0      0
   2     2.4        59 1000.8  27.4 72.9  22.1 283   1.0 303.6 23.186751 120.375652 16.87      25    232
   3     5.2        64 1000.3  27.3 72.8  22.0 292   1.0 303.5 23.186222 120.376351 16.78      36    228
   4     7.1        72  999.5  27.2 73.4  22.0 294   1.1 303.4 23.186036 120.376584 16.83      40    225
   5     7.1        79  998.7  27.1 73.4  22.0 293   1.2 303.4 23.186021 120.376579 16.78      42    224
   6     4.5        83  998.1  27.1 73.1  21.9 292   1.3 303.3 23.186054 120.376507 16.66      43    225
   7     3.6        87  997.7  27.0 73.0  21.8 291   1.4 303.2 23.186070 120.376452 16.60      44    225
   8     6.1        93  997.1  26.9 73.0  21.7 290   1.5 303.1 23.186054 120.376449 16.53      45    221
   9     4.0        97  996.5  26.9 73.1  21.7 289   1.6 303.0 23.186012 120.376485 16.48      47    214
  10     4.7       102  995.8  26.8 73.2  21.6 289   1.6 303.0 23.185971 120.376528 16.48      49    207
  11     6.9       108  995.2  26.8 73.3  21.6 288   1.7 302.9 23.185943 120.376566 16.46      50    201
  12     7.2       116  994.6  26.7 73.5  21.6 287   1.8 302.9 23.185943 120.376604 16.44      49    197
  13     6.4       122  993.9  26.6 73.6  21.5 287   1.8 302.8 23.185967 120.376644 16.41      45    193
  14     5.2       127  993.3  26.6 73.8  21.6 286   1.9 302.8 23.186005 120.376676 16.43      40    189
  15     5.6       133  992.7  26.6 74.0  21.6 285   2.0 302.7 23.186031 120.376688 16.44      37    188
  16     4.9       138  992.1  26.5 74.1  21.5 284   2.0 302.7 23.186028 120.376684 16.43      38    189
  17     5.2       143  991.5  26.5 74.2  21.5 284   2.0 302.6 23.185993 120.376689 16.42      41    187
  18     4.4       147  990.9  26.4 74.4  21.5 283   2.1 302.6 23.185953 120.376727 16.41      45    182
  19     4.6       152  990.4  26.4 74.4  21.5 283   2.1 302.5 23.185931 120.376793 16.39      48    174
  20     5.4       157  989.8  26.3 74.6  21.5 282   2.1 302.5 23.185933 120.376857 16.38      49    166
  21     4.5       162  989.2  26.3 74.7  21.4 281   2.1 302.4 23.185952 120.376894 16.38      48    161
  22     5.3       167  988.6  26.2 74.9  21.4 281   2.1 302.4 23.185972 120.376893 16.39      46    160
  23     7.0       174  987.9  26.2 75.1  21.4 280   2.1 302.3 23.185976 120.376874 16.40      45    162
  24     5.3       180  987.3  26.1 75.4  21.4 280   2.1 302.3 23.185955 120.376864 16.40      47    164
  25     5.6       185  986.6  26.1 75.6  21.4 279   2.1 302.2 23.185914 120.376882 16.41      52    164
  26     7.6       193  986.0  26.0 75.8  21.4 279   2.0 302.1 23.185879 120.376924 16.40      57    161
  27     6.8       200  985.3  25.9 75.8  21.3 278   2.0 302.1 23.185873 120.376971 16.35      59    156
  28     4.9       205  984.7  25.9 75.6  21.3 278   2.0 302.0 23.185900 120.377005 16.29      58    152
  29     4.4       209  984.1  25.9 75.6  21.3 277   2.0 302.0 23.185941 120.377018 16.29      55    149
  30     5.5       214  983.5  25.8 75.8  21.3 277   1.9 302.0 23.185974 120.377011 16.28      51    147
  31     5.4       220  982.8  25.8 75.9  21.2 277   1.9 301.9 23.185979 120.376993 16.27      50    149
  32     6.1       226  982.2  25.8 75.9  21.2 277   1.9 301.9 23.185955 120.376982 16.26      52    151
  33     4.2       230  981.6  25.7 76.1  21.2 277   1.9 301.8 23.185914 120.376998 16.26      56    152
  34     6.1       236  981.0  25.7 76.4  21.2 277   1.9 301.8 23.185881 120.377043 16.28      62    150
  35     5.5       242  980.4  25.6 76.7  21.2 277   1.9 301.7 23.185874 120.377103 16.31      66    145
  36     5.2       247  979.8  25.6 77.0  21.2 278   1.8 301.7 23.185895 120.377155 16.34      67    141
  37     6.0       253  979.2  25.5 77.3  21.2 278   1.8 301.6 23.185928 120.377181 16.35      66    137
  38     5.1       258  978.6  25.5 77.4  21.2 279   1.8 301.6 23.185951 120.377177 16.33      64    136
  39     5.8       264  978.0  25.4 77.4  21.2 279   1.8 301.5 23.185947 120.377159 16.30      63    137
  40     5.9       270  977.3  25.4 77.4  21.1 280   1.8 301.5 23.185920 120.377143 16.28      64    140
  41     5.0       275  976.7  25.3 77.4  21.1 280   1.8 301.5 23.185888 120.377136 16.25      66    142
  42     6.1       281  976.1  25.3 77.4  21.1 281   1.9 301.4 23.185875 120.377139 16.22      68    143
  43     6.5       287  975.5  25.2 77.6  21.1 281   1.9 301.3 23.185891 120.377152 16.22      67    141
  44     3.9       291  974.9  25.2 78.0  21.1 282   1.9 301.3 23.185930 120.377176 16.27      66    137
  45     4.9       296  974.4  25.2 78.3  21.1 282   1.9 301.3 23.185973 120.377210 16.31      65    132
  46     5.8       302  973.8  25.1 78.5  21.1 282   1.9 301.2 23.186001 120.377251 16.31      66    127
  47     4.6       307  973.2  25.1 78.6  21.1 283   2.0 301.2 23.186000 120.377289 16.29      69    126
  48     4.8       311  972.7  25.0 78.7  21.1 283   2.0 301.1 23.185966 120.377315 16.29      73    127
  49     6.1       317  972.1  25.0 78.9  21.1 283   2.0 301.1 23.185913 120.377326 16.31      78    130
  50     4.9       322  971.5  24.9 79.0  21.1 283   2.1 301.1 23.185862 120.377334 16.29      82    132
  51     5.1       328  971.0  24.9 78.8  21.0 283   2.1 301.0 23.185829 120.377352 16.21      86    133
  52     5.4       333  970.4  24.8 78.8  20.9 283   2.1 300.9 23.185815 120.377385 16.17      90    133
  53     4.0       337  969.8  24.8 79.1  20.9 283   2.2 300.9 23.185817 120.377432 16.20      93    130
  54     5.5       342  969.2  24.7 79.6  21.0 283   2.2 300.8 23.185825 120.377477 16.25      96    128
  55     5.8       348  968.7  24.7 79.7  20.9 282   2.2 300.8 23.185832 120.377501 16.22      98    127
  56     5.6       354  968.1  24.6 79.6  20.9 282   2.2 300.7 23.185835 120.377496 16.17      97    127
  57     4.7       359  967.5  24.6 79.6  20.9 282   2.2 300.7 23.185839 120.377472 16.16      95    128
  58     5.0       364  966.9  24.6 79.7  20.9 281   2.3 300.7 23.185850 120.377446 16.15      92    128
  59     5.0       369  966.3  24.5 79.8  20.8 281   2.3 300.6 23.185863 120.377437 16.13      90    128
  60     5.7       374  965.7  24.5 79.9  20.8 280   2.3 300.5 23.185870 120.377455 16.11      91    127
  61     5.5       380  965.1  24.4 80.2  20.8 280   2.3 300.5 23.185869 120.377498 16.13      95    125
  62     7.2       387  964.5  24.4 80.6  20.8 279   2.3 300.5 23.185855 120.377558 16.17     101    124
  63     4.5       391  963.9  24.3 80.7  20.8 279   2.3 300.4 23.185835 120.377622 16.15     108    123
  64     4.9       396  963.3  24.3 80.8  20.8 278   2.3 300.4 23.185818 120.377682 16.14     114    122
  65     5.7       402  962.7  24.2 80.9  20.7 277   2.3 300.3 23.185812 120.377733 16.12     119    121
  66     6.5       409  962.0  24.1 81.0  20.7 276   2.3 300.2 23.185813 120.377770 16.08     122    120
  67     5.7       414  961.4  24.1 81.1  20.7 276   2.2 300.2 23.185815 120.377788 16.06     123    119
  68     6.8       421  960.7  24.1 81.2  20.7 275   2.2 300.1 23.185817 120.377787 16.06     123    119
  69     5.2       426  960.1  24.0 81.5  20.7 274   2.2 300.1 23.185821 120.377778 16.07     122    119
  70     6.7       433  959.4  24.0 81.7  20.6 274   2.2 300.0 23.185829 120.377775 16.07     121    119
  71     6.0       439  958.8  23.9 81.8  20.6 273   2.1 300.0 23.185838 120.377788 16.06     122    118
  72     6.2       445  958.2  23.8 81.9  20.6 272   2.1 299.9 23.185844 120.377818 16.03     124    117
  73     5.2       450  957.5  23.8 82.0  20.6 271   2.1 299.8 23.185845 120.377855 16.01     128    117
