Sonde serial number                          	S2251087
Balloon release date and time                	2021-04-01T12:00:01
Sonde type                                   	RS41-SGP

   n AscRate HeightMSL      P Temp   RH Dewp Dir Speed  VirT       Lat        Lon  MixR CompRng CompAz
         m/s         m    hPa   °C    %   °C   °   m/s     K         °          °  g/kg       m      °
   1     0.0        57 1002.1 24.7 72.2 19.4 180   0.6 300.4 23.188101 120.373802 14.18       0      0
   2     3.7        62 1001.5 25.3 79.9 21.6 254   0.2 301.4 23.186946 120.375329 16.34      21    168
   3     5.4        67 1000.9 25.5 82.6 22.3 313   0.4 301.7 23.186253 120.376230 17.07      35    225
   4     5.9        73 1000.3 25.6 82.4 22.3 320   0.5 301.8 23.186006 120.376535 17.12      41    227
   5     5.3        78  999.7 25.6 81.7 22.3 321   0.6 301.9 23.185967 120.376583 17.09      42    227
   6     5.3        84  999.1 25.7 80.9 22.2 321   0.6 301.9 23.185993 120.376553 16.96      41    226
   7     4.5        88  998.6 25.6 80.5 22.0 320   0.6 301.9 23.186012 120.376515 16.84      41    224
   8     5.3        94  998.1 25.6 80.2 22.0 320   0.6 301.8 23.186014 120.376484 16.79      43    223
   9     4.5        98  997.6 25.6 80.0 21.9 320   0.7 301.8 23.186020 120.376464 16.74      44    225
  10     3.2       101  997.0 25.6 79.9 21.9 321   0.7 301.8 23.186037 120.376458 16.72      43    228
  11     3.7       105  996.5 25.6 79.9 21.9 321   0.7 301.8 23.186056 120.376471 16.72      40    229
  12     4.9       110  996.0 25.6 80.0 21.9 321   0.8 301.8 23.186060 120.376494 16.71      38    227
  13     5.1       115  995.5 25.5 80.1 21.9 321   0.8 301.7 23.186046 120.376510 16.70      38    224
  14     5.3       120  994.9 25.5 80.2 21.8 321   0.8 301.7 23.186026 120.376516 16.69      39    221
  15     5.4       126  994.4 25.5 80.2 21.8 321   0.8 301.7 23.186014 120.376521 16.67      40    219
  16     4.9       131  993.8 25.5 80.1 21.8 321   0.9 301.7 23.186018 120.376529 16.67      39    218
  17     4.5       135  993.3 25.4 80.2 21.8 321   0.9 301.6 23.186024 120.376533 16.68      38    218
  18     4.7       140  992.7 25.4 80.4 21.8 321   0.9 301.6 23.186020 120.376536 16.69      39    218
  19     4.9       145  992.2 25.4 80.5 21.8 321   0.9 301.6 23.186000 120.376546 16.68      40    215
  20     5.3       150  991.6 25.3 80.6 21.8 321   0.9 301.5 23.185973 120.376567 16.68      41    210
  21     5.2       155  991.1 25.3 80.7 21.8 321   0.9 301.5 23.185951 120.376592 16.69      42    205
  22     4.6       160  990.5 25.3 80.8 21.8 321   1.0 301.5 23.185941 120.376611 16.70      42    202
  23     4.2       164  990.0 25.3 81.0 21.8 321   1.0 301.5 23.185939 120.376617 16.72      42    201
  24     5.2       169  989.5 25.2 81.2 21.8 320   1.0 301.4 23.185930 120.376608 16.76      44    202
  25     4.8       174  989.0 25.2 81.4 21.8 320   1.0 301.4 23.185913 120.376591 16.77      46    203
  26     3.8       178  988.4 25.2 81.4 21.8 320   1.0 301.4 23.185894 120.376579 16.73      48    203
  27     4.5       182  987.9 25.1 81.1 21.7 319   1.0 301.3 23.185885 120.376576 16.66      49    203
  28     4.9       187  987.4 25.1 81.0 21.6 318   1.0 301.3 23.185888 120.376582 16.62      49    203
  29     5.9       193  986.9 25.1 81.0 21.6 317   1.0 301.3 23.185897 120.376593 16.60      48    202
  30     4.0       197  986.4 25.1 81.0 21.6 316   1.0 301.2 23.185903 120.376604 16.57      47    201
  31     2.5       200  985.9 25.0 81.1 21.6 315   1.0 301.2 23.185904 120.376614 16.56      46    200
  32     4.7       204  985.4 25.0 81.3 21.6 314   1.0 301.2 23.185902 120.376620 16.58      46    199
