Sonde serial number                          	R2030542
Balloon release date and time                	2021-04-02T21:00:01
Sonde type                                   	RS41-SG

   n AscRate HeightMSL      P  Temp    RH  Dewp Dir Speed  VirT       Lat        Lon  MixR CompRng CompAz
         m/s         m    hPa    °C     %    °C   °   m/s     K         °          °  g/kg       m      °
   1     0.0        57 1005.1  23.6  80.6  20.1 250   1.0 299.4 23.188101 120.373802 14.79       0      0
   2     5.6        63 1004.4  23.6  92.7  22.3 301   0.8 299.8 23.186711 120.375586 17.08      27    202
   3     5.0        68 1003.8  23.5  94.2  22.6 324   0.9 299.8 23.186119 120.376356 17.32      38    218
   4     4.3        72 1003.3  23.5  94.1  22.5 332   1.1 299.8 23.185932 120.376614 17.24      41    218
   5     3.9        76 1002.9  23.4  93.8  22.4 335   1.2 299.7 23.185926 120.376634 17.14      40    218
   6     4.0        80 1002.5  23.4  93.6  22.3 336   1.3 299.6 23.185956 120.376592 17.06      40    216
   7     4.4        85 1002.0  23.3  93.5  22.2 338   1.4 299.6 23.185968 120.376566 17.01      40    212
   8     5.0        90 1001.4  23.3  93.5  22.2 341   1.5 299.5 23.185966 120.376568 16.98      40    209
   9     5.6        95 1000.8  23.3  93.6  22.2 343   1.6 299.5 23.185965 120.376581 16.96      40    207
  10     6.1       101 1000.0  23.2  93.9  22.2 345   1.8 299.4 23.185966 120.376585 16.96      39    206
  11     6.1       107  999.3  23.1  94.1  22.1 348   1.9 299.4 23.185955 120.376585 16.96      40    206
  12     5.7       113  998.7  23.1  94.3  22.1 350   2.0 299.3 23.185931 120.376593 16.93      43    203
  13     5.1       118  998.1  23.0  94.5  22.1 352   2.2 299.2 23.185900 120.376612 16.90      45    199
  14     4.7       123  997.6  22.9  94.6  22.0 354   2.3 299.1 23.185870 120.376628 16.87      48    196
  15     4.6       128  997.1  22.9  94.8  22.0 355   2.5 299.1 23.185837 120.376627 16.86      51    195
  16     4.9       132  996.6  22.8  95.1  22.0 357   2.6 299.0 23.185800 120.376614 16.85      56    195
  17     5.2       138  995.9  22.7  95.4  22.0 359   2.8 298.9 23.185764 120.376606 16.84      60    195
  18     5.1       143  995.2  22.7  95.5  21.9 360   2.9 298.9 23.185733 120.376610 16.81      63    194
