Sonde serial number                          	R2030028
Balloon release date and time                	2021-04-03T00:00:07
Sonde type                                   	RS41-SG

   n AscRate HeightMSL      P  Temp   RH  Dewp Dir Speed  VirT       Lat        Lon  MixR CompRng CompAz
         m/s         m    hPa    °C    %    °C   °   m/s     K         °          °  g/kg       m      °
   1     0.0        57 1006.1  25.4 68.8  19.3 279   1.2 301.1 23.188101 120.373802 14.03       0      0
   2     2.9        61 1005.6  24.9 77.9  20.7 333   0.8 300.9 23.186975 120.375170 15.44      26    151
   3     3.9        65 1005.2  24.6 82.5  21.5  10   1.2 300.7 23.186194 120.376110 16.14      45    222
   4     3.4        68 1004.8  24.6 82.7  21.4  19   1.4 300.7 23.185892 120.376458 16.13      53    220
   5     3.1        72 1004.5  24.5 82.6  21.4  20   1.6 300.6 23.185819 120.376535 16.04      55    218
   6     3.0        75 1004.1  24.4 82.6  21.3  21   1.7 300.5 23.185834 120.376514 15.97      54    216
   7     2.9        78 1003.7  24.4 82.7  21.3  21   1.8 300.4 23.185861 120.376477 15.95      54    215
   8     2.8        80 1003.4  24.4 82.7  21.3  22   1.9 300.4 23.185868 120.376449 15.96      55    215
   9     2.9        83 1003.1  24.4 82.7  21.3  23   2.0 300.4 23.185855 120.376431 15.96      57    215
  10     3.3        87 1002.8  24.4 82.7  21.2  24   2.2 300.4 23.185832 120.376423 15.95      60    214
  11     3.8        90 1002.3  24.3 82.7  21.2  24   2.3 300.4 23.185809 120.376423 15.94      62    213
  12     4.2        94 1001.8  24.3 82.8  21.2  25   2.4 300.4 23.185787 120.376431 15.94      64    211
  13     4.4        99 1001.3  24.3 83.0  21.2  26   2.6 300.3 23.185770 120.376435 15.93      65    210
  14     4.6       104 1000.8  24.2 83.1  21.2  26   2.7 300.3 23.185760 120.376426 15.93      66    210
  15     4.7       108 1000.3  24.2 83.2  21.2  27   2.8 300.2 23.185755 120.376404 15.92      68    212
  16     4.7       113  999.7  24.2 83.5  21.2  27   3.0 300.2 23.185746 120.376378 15.95      70    213
  17     4.5       117  999.2  24.1 83.7  21.2  27   3.1 300.2 23.185722 120.376359 15.97      74    213
  18     4.3       122  998.7  24.0 83.7  21.1  28   3.2 300.1 23.185685 120.376347 15.91      78    212
  19     4.1       126  998.3  24.0 83.9  21.1  28   3.3 300.0 23.185644 120.376333 15.87      82    211
  20     4.1       130  997.8  23.9 84.1  21.0  28   3.4 299.9 23.185609 120.376308 15.84      87    211
  21     4.1       134  997.3  23.8 84.3  21.0  28   3.5 299.8 23.185583 120.376270 15.77      91    213
  22     4.0       138  996.8  23.6 84.8  20.9  28   3.6 299.6 23.185556 120.376226 15.75      96    214
  23     3.8       142  996.4  23.6 85.2  21.0  28   3.7 299.6 23.185520 120.376190 15.77     102    214
  24     3.6       146  996.0  23.5 85.5  21.0  28   3.7 299.5 23.185473 120.376169 15.79     107    214
  25     3.5       149  995.6  23.5 85.7  21.0  28   3.8 299.5 23.185425 120.376159 15.79     112    213
  26     3.5       152  995.2  23.4 85.9  21.0  28   3.8 299.5 23.185384 120.376150 15.80     117    212
  27     3.5       156  994.8  23.4 86.0  21.0  27   3.9 299.4 23.185354 120.376132 15.80     120    212
  28     3.6       160  994.4  23.4 86.2  20.9  27   3.9 299.4 23.185328 120.376103 15.80     124    212
  29     3.8       163  994.0  23.3 86.4  20.9  26   4.0 299.3 23.185295 120.376070 15.81     129    213
  30     4.0       167  993.5  23.3 86.7  21.0  26   4.0 299.3 23.185251 120.376042 15.83     135    213
  31     4.2       172  993.1  23.3 87.0  21.0  25   4.0 299.3 23.185202 120.376021 15.86     141    212
