Start time:      16/03/2021 01:35:14

Time	  Height	       P	       T	       U	      WS	      WD	  Ascent
 0.0,	     124,	  1012.9,	    23.8,	    67.0,	     0.9,	   135.0,	       0
 6.8,	     135,	  1011.5,	    23.2,	    62.7,	     0.5,	    63.9,	     102
 7.8,	     141,	  1011.0,	    23.2,	    62.6,	     0.6,	    61.6,	     324
 8.8,	     145,	  1010.6,	    23.1,	    62.6,	     0.6,	    59.5,	     248
 9.8,	     148,	  1010.1,	    23.1,	    62.6,	     0.6,	    57.5,	     184
10.8,	     152,	  1009.7,	    23.0,	    62.4,	     0.7,	    55.6,	     252
11.8,	     155,	  1009.2,	    23.0,	    62.1,	     0.7,	    53.8,	     184
12.8,	     160,	  1008.8,	    23.0,	    61.9,	     0.7,	    52.1,	     274
13.8,	     164,	  1008.3,	    23.0,	    62.0,	     0.8,	    50.6,	     244
14.8,	     167,	  1007.9,	    22.9,	    62.3,	     0.9,	    49.3,	     217
15.8,	     171,	  1007.4,	    22.9,	    62.5,	     0.9,	    48.3,	     189
16.8,	     175,	  1007.0,	    22.9,	    62.8,	     1.0,	    47.5,	     260
17.8,	     178,	  1006.6,	    22.8,	    63.1,	     1.0,	    46.9,	     205
18.8,	     182,	  1006.1,	    22.8,	    63.5,	     1.1,	    46.5,	     240
19.8,	     186,	  1005.7,	    22.8,	    63.8,	     1.2,	    46.2,	     238
20.8,	     191,	  1005.2,	    22.8,	    63.8,	     1.2,	    46.0,	     296
21.8,	     194,	  1004.7,	    22.8,	    63.5,	     1.3,	    46.0,	     147
22.8,	     198,	  1004.2,	    22.7,	    63.4,	     1.3,	    46.2,	     222
23.8,	     202,	  1003.7,	    22.6,	    63.7,	     1.4,	    46.4,	     297
24.8,	     207,	  1003.2,	    22.6,	    64.1,	     1.4,	    46.8,	     268
25.8,	     213,	  1002.7,	    22.6,	    64.3,	     1.5,	    47.3,	     347
26.8,	     216,	  1002.2,	    22.7,	    64.2,	     1.5,	    47.8,	     215
27.8,	     223,	  1001.6,	    22.6,	    64.1,	     1.6,	    48.3,	     375
28.8,	     227,	  1001.1,	    22.6,	    64.1,	     1.6,	    48.9,	     252
29.8,	     231,	  1000.5,	    22.5,	    64.2,	     1.6,	    49.5,	     224
30.8,	     235,	  1000.0,	    22.4,	    64.5,	     1.6,	    50.3,	     291
31.8,	     240,	   999.5,	    22.3,	    64.7,	     1.6,	    51.1,	     298
32.8,	     246,	   999.0,	    22.2,	    64.7,	     1.6,	    51.9,	     325
33.8,	     250,	   998.5,	    22.1,	    64.6,	     1.6,	    52.8,	     253
34.8,	     254,	   998.0,	    22.1,	    64.9,	     1.6,	    53.6,	     212
35.8,	     257,	   997.6,	    22.0,	    65.4,	     1.6,	    54.5,	     221
36.8,	     261,	   997.1,	    22.0,	    65.7,	     1.6,	    55.4,	     216
37.8,	     264,	   996.7,	    22.0,	    66.0,	     1.6,	    56.2,	     182
38.8,	     270,	   996.2,	    22.0,	    66.4,	     1.5,	    57.1,	     347
39.8,	     273,	   995.8,	    21.9,	    66.4,	     1.5,	    58.0,	     190
40.8,	     276,	   995.3,	    21.9,	    66.4,	     1.5,	    58.9,	     197
41.8,	     280,	   994.8,	    21.9,	    66.5,	     1.4,	    59.7,	     259
42.8,	     284,	   994.4,	    21.8,	    66.7,	     1.4,	    60.5,	     209
43.8,	     289,	   993.9,	    21.8,	    66.8,	     1.4,	    61.2,	     291
44.8,	     293,	   993.4,	    21.8,	    67.1,	     1.3,	    61.8,	     251
45.8,	     298,	   992.9,	    21.7,	    67.4,	     1.3,	    62.4,	     279
