Time,NodeID,PacketID,Temperature(degree C),Humidity(%),Pressure(hPa),Voltage(V),RSSI,Lat,Lon,Height(m),Distance(km),Sat,SNR,Speed(km/hr),Direction(degree),angle(degree)
2021/04/02 02:51:09.000000,2325,0,24.3,87.7,1004.032734,1.4559139784946238,-92.0,0.0,0.0,0.0,13168.447369028749,0,9,0.0,0.0,0.0
2021/04/02 02:51:10.000000,2325,1,24.28,87.8,1004.023281,1.4580645161290322,-92.0,23.18591,120.37667,81.98,235.35612144011156,3,9,4.33,0.0,0.019957449102136444
2021/04/02 02:51:11.000000,2325,2,24.28,87.9,1004.057343,1.4580645161290322,-92.0,23.18591,120.37668,82.23,235.35561169784586,3,9,4.73,31.78,0.020018353179103814
2021/04/02 02:51:12.000000,2325,3,24.27,87.9,1004.058125,1.4602150537634409,-92.0,23.18591,120.37668,81.56,235.35561169784586,3,9,2.22,31.78,0.019855246094684444
2021/04/02 02:51:13.000000,2325,4,24.26,87.9,1004.060625,1.4602150537634409,-93.0,23.18592,120.37668,81.16,235.35464645943378,3,9,3.23,31.78,0.019757949761825745
2021/04/02 02:51:14.000000,2325,5,24.27,87.9,1004.032031,1.4559139784946238,-92.0,23.18591,120.37667,81.78,235.35612144011156,3,9,0.4,31.78,0.0199087605256696
2021/04/02 02:51:15.000000,2325,6,24.25,88.0,1004.042656,1.4580645161290322,-92.0,23.18592,120.37668,79.68,235.35464645943378,3,9,1.49,31.78,0.019397652036439745
2021/04/02 02:51:16.000000,2325,7,24.24,88.0,1004.041875,1.4559139784946238,-92.0,23.18592,120.37668,79.95,235.35464645943378,3,9,0.99,31.78,0.01946338202699703
2021/04/02 02:51:17.000000,2325,8,24.23,88.0,1004.0517960000001,1.4645161290322581,-93.0,23.18592,120.37668,79.63,235.35464645943378,3,10,5.22,39.37,0.019385479815960567
2021/04/02 02:51:18.000000,2325,9,24.24,88.0,1004.0591400000001,1.4666666666666668,-91.0,23.18593,120.37669,78.93,235.35317147923976,3,9,3.02,39.37,0.019215189151680925
2021/04/02 02:51:19.000000,2325,10,24.23,88.0,1004.040312,1.4559139784946238,-91.0,23.18595,120.37671,75.37,235.35022152030993,3,9,8.48,51.17,0.018348751602516398
2021/04/02 02:51:20.000000,2325,11,24.22,88.0,1004.060468,1.4559139784946238,-91.0,23.18595,120.37672,74.29,235.34971178296703,3,9,3.79,51.17,0.018085865864920062
2021/04/02 02:51:21.000000,2325,12,24.23,88.0,1004.0779679999999,1.4666666666666668,-91.0,23.18595,120.37671,74.92,235.35022152030993,3,9,3.34,51.17,0.018239199557118533
2021/04/02 02:51:22.000000,2325,13,24.23,88.0,1004.0620309999999,1.4666666666666668,-91.0,23.18596,120.37672,72.76,235.34874654157213,3,10,4.17,51.17,0.0177134607505457
2021/04/02 02:51:23.000000,2325,14,24.21,88.0,1004.055468,1.4580645161290322,-91.0,23.18595,120.37671,74.85,235.35022152030993,3,9,1.54,51.17,0.01822215812782241
2021/04/02 02:51:24.000000,2325,15,24.21,88.1,1004.0391400000001,1.4537634408602151,-91.0,23.18594,120.37669,75.85,235.35220624138816,3,9,4.07,51.17,0.018465451397325396
2021/04/02 02:51:25.000000,2325,16,24.22,88.1,1004.053046,1.4559139784946238,-91.0,23.18594,120.37669,75.06,235.35220624138816,3,9,3.72,51.17,0.01827312831743747
2021/04/02 02:51:26.000000,2325,17,24.21,88.1,1004.059609,1.4580645161290322,-91.0,23.18593,120.37668,75.83,235.3536812223273,3,10,1.24,51.17,0.018460466764613735
2021/04/02 02:51:27.000000,2325,18,24.2,88.1,1004.0617179999999,1.4666666666666668,-93.0,23.18595,120.37669,73.23,235.35124100484217,3,10,3.66,51.17,0.01782769353764085
2021/04/02 02:51:28.000000,2325,19,24.21,88.2,1004.0305460000001,1.4645161290322581,-94.0,23.18594,120.37669,72.09,235.35220624138816,3,9,5.24,119.61,0.017550090912185144
2021/04/02 02:51:29.000000,2325,20,24.21,88.2,1004.065781,1.4559139784946238,-97.0,23.18594,120.37668,72.51,235.35271598652722,3,9,1.9,119.61,0.017652300393604214
2021/04/02 02:51:30.000000,2325,21,24.2,88.3,1004.045625,1.4666666666666668,-98.0,23.18594,120.37669,71.85,235.35220624138816,3,9,0.12,119.61,0.017491663646867075
2021/04/02 02:51:31.000000,2325,22,24.21,88.3,1004.071093,1.4666666666666668,-97.0,23.18594,120.37668,73.96,235.35271598652722,3,9,0.21,119.61,0.018005297689178818
2021/04/02 02:51:32.000000,2325,23,24.2,88.2,1004.059609,1.4537634408602151,-95.0,23.18595,120.37669,72.54,235.35124100484217,3,9,0.59,119.61,0.017659714461330606
2021/04/02 02:51:33.000000,2325,24,24.19,88.0,1004.019531,1.4537634408602151,-96.0,23.18595,120.3767,70.55,235.3507312609354,3,9,0.41,119.61,0.01717529026535895
2021/04/02 02:51:34.000000,2325,25,24.19,87.9,1004.039531,1.4666666666666668,-89.0,23.18596,120.3767,70.55,235.34976602364358,3,9,0.82,119.61,0.017175360706175397
2021/04/02 02:51:35.000000,2325,26,24.19,87.6,1004.043984,1.4666666666666668,-88.0,23.18595,120.3767,70.98,235.3507312609354,3,9,1.14,119.61,0.017279973105438634
2021/04/02 02:51:36.000000,2325,27,24.19,86.8,1004.070234,1.4559139784946238,-93.0,23.18595,120.3767,71.05,235.3507312609354,3,12,0.32,119.61,0.017297014497998843
2021/04/02 02:51:37.000000,2325,28,24.18,86.4,1004.042812,1.4559139784946238,-83.0,23.18596,120.3767,70.26,235.34976602364358,3,9,1.15,119.61,0.017104760361622007
